"evrak","Kelime","frekans"
1,"al gülüm ver gülüm",3
1,"balgümeci",5
1,"beslenme",2
1,"basmaca",2
1,"adımını attırmamak",3
1,"arkalamak",5
1,"alın yazısı",3
1,"aktartma",4
1,"başvurma",7
1,"belgin",6
1,"bademli",1
1,"basıcı",1
1,"ayrımlılaşmak",1
1,"anlaşılan",6
1,"bazıları",2
1,"al kan",3
1,"başgöz etmek",2
1,"benzincilik",2
1,"baş vermek",2
1,"bellek yitimi",5
1,"azot",1
1,"aktan kara kalktı mı",1
1,"aşağılı yukarılı",3
1,"beta ışınları",2
1,"adli",4
1,"bekleme",3
1,"aile hukuku",4
1,"aşamcak",6
1,"bastonlu",6
1,"bellisiz",3
1,"baş tacı etmek",3
1,"aması maması yok",1
1,"ballık",6
1,"açıklayan",4
1,"almancı",3
1,"ant verdirmek",4
1,"algılanmak",6
1,"aka",5
1,"adçekimi",4
1,"azledilmesi",5
1,"asırdide",5
1,"alaca bulaca",5
1,"ayakları dolaşmak",6
1,"aksatma",1
1,"ayrıklık",3
1,"bencillik",5
1,"ay evi",4
1,"bernier çamurcunu",5
1,"alakasız",2
1,"aklına yelken etmek",7
1,"başparmak",5
1,"beslenme bozukluğu",4
1,"ahkam yürütmek",7
1,"anonim şirket",4
1,"adalet",1
1,"asit alkol",2
1,"adlandırılma",6
1,"antibiyotik tedavisi",4
1,"amcasının",5
1,"besmele",4
1,"ağustos",1
1,"ağaççılık",6
1,"allamak",5
1,"bacağın",1
2,"beslenme",3
2,"ablaklık",7
2,"arkalamak",7
2,"altun",4
2,"açık kapı politikası",2
2,"anıştırmak",3
2,"amonyum karbonat",6
2,"ayaz paşa kol geziyor",4
2,"beş altı",7
2,"baba adam",3
2,"ağızlama",2
2,"akseptans",3
2,"akşaman",4
2,"artagan",2
2,"adamsendeci",1
2,"aygın baygın",4
2,"aptallık",3
2,"azar",4
2,"aktan",6
2,"basket",5
2,"belirtilmezlik",1
2,"ak kan yangısı",6
2,"balast",3
2,"barutçuluk",7
2,"baydan",1
2,"azot",3
2,"bangladeş",7
2,"alivre",4
2,"açık yüreklilik",3
2,"belgelendirmek",5
2,"afis",7
2,"bedduasını almak",1
2,"adalete teslim etmek",6
2,"anlaşılmamış",5
2,"avans",6
2,"ahlaksız",6
2,"aşırı besi",4
2,"alternatör",2
2,"altılık",4
2,"berkli",6
2,"babasına rahmet okumak",2
2,"ağrıkesen",6
2,"ağrıkesen",1
2,"alaca bulaca",6
2,"ayrılmış",1
2,"aksırtmak",1
2,"alt yazılama",3
2,"acıya",5
2,"acıya",2
2,"beklenmek",6
2,"başefendi",7
2,"anket yapmak",7
2,"beçene",3
2,"bağ budamak",2
2,"ağustos",4
2,"babana rahmet",4
2,"ana yüreği",4
2,"başını kurtarmak",2
2,"bankomat",6
2,"alacakmısın",1
2,"basın yasağı",3
3,"bas bariton",3
3,"betonlaşma",3
3,"ayrıç",4
3,"ayrıç",3
3,"allak",7
3,"amanın",6
3,"ayniyet",5
3,"benibeşer",7
3,"adonis",2
3,"başsızlık",2
3,"belgilemek",3
3,"atölye",1
3,"belirtme sıfatı",2
3,"bertik",7
3,"betonkarar",4
3,"başarılma",4
3,"bela kesilmek",5
3,"bangladeş",2
3,"açık hece",7
3,"alivre",5
3,"bedenli",5
3,"aktan kara kalktı mı",5
3,"basmakalıplaşmak",6
3,"astırma",7
3,"astırma",2
3,"anımsama",7
3,"aşım",5
3,"anons etmek",7
3,"basketbol",3
3,"bengisu",7
3,"allak bullak etmek",6
3,"behime",4
3,"alk",7
3,"berber dükkanı",3
3,"aşıcılık",4
3,"balık çorbası",7
3,"belirlenmek",3
3,"atom reaktörü",4
3,"azledilmesi",3
3,"aşikar etmek",1
3,"andırmak",5
3,"acısı çıkmak",6
3,"bakışımsız",5
3,"ahbap çıkmak",2
3,"alet",6
3,"banyo havlusu",4
3,"ağaç delen",2
3,"aitlik",2
3,"başını ezmek",2
3,"ayak divanı",6
3,"adı batası",5
3,"agnostiszm",5
3,"ambalajcılık",1
3,"ağlatmak",7
3,"ağaçlıklı",7
3,"ayağa düşmek",3
3,"berk",7
3,"apışlık",5
3,"aleyhinde konuşmak",7
